G20 Country, Imported product at risk of modern slavery,Source Country,Import Value (US$ '000)
United Kingdom,Electronics,China,14713414
United Kingdom,Electronics,Malaysia,37016
United Kingdom,Garments,Argentina,189
United Kingdom,Garments,Bangladesh,3009806
United Kingdom,Garments,Brazil,1294
United Kingdom,Garments,China,5257572
United Kingdom,Garments,India,1255998
United Kingdom,Garments,Malaysia,22225
United Kingdom,Garments,Viet Nam,509046
United Kingdom,Textiles,China,538295
United Kingdom,Timber,Brazil,130422
United Kingdom,Timber,Peru,77
United Kingdom,Timber,Russia,352850
United Kingdom,Fish,China,230258
United Kingdom,Fish,Ghana,38875
United Kingdom,Fish,Indonesia,18615
United Kingdom,Fish,Taiwan,761
United Kingdom,Fish,Thailand,16475
United States,Electronics,China,106158032
United States,Electronics,Malaysia,1427054
United States,Garments,Argentina,950
United States,Garments,Bangladesh,7273296
United States,Garments,Brazil,25173
United States,Garments,China,24889568
United States,Garments,India,4657696
United States,Garments,Malaysia,256474
United States,Garments,Viet Nam,15288211
United States,Textiles,China,4752876
United States,Timber,Brazil,2107498
United States,Timber,Peru,8361
United States,Timber,Russia,549653
United States,Fish,China,1015843
United States,Fish,Ghana,257
United States,Fish,Indonesia,406921
United States,Fish,Taiwan,144891
United States,Fish,Thailand,670363
South Africa,Electronics,China,2435721
South Africa,Electronics,Malaysia,4566
South Africa,Garments,Argentina,24
South Africa,Garments,Bangladesh,105396
South Africa,Garments,Brazil,456
South Africa,Garments,China,1157112
South Africa,Garments,India,97275
South Africa,Garments,Malaysia,3157
South Africa,Garments,Viet Nam,32184
South Africa,Palm oil,Indonesia,436801
South Africa,Palm oil,Malaysia,116863
South Africa,Solar panels,China,256757
South Africa,Textiles,China,142188
South Korea,Electronics,China,9275468
South Korea,Electronics,Malaysia,15132
South Korea,Garments,Argentina,136
South Korea,Garments,Bangladesh,443987
South Korea,Garments,Brazil,243
South Korea,Garments,China,4882687
South Korea,Garments,India,56823
South Korea,Garments,Malaysia,8626
South Korea,Garments,Viet Nam,3020662
South Korea,Solar panels,China,1003783
South Korea,Palm oil,Indonesia,453534
South Korea,Palm oil,Malaysia,373781
South Korea,Fish,China,533256
South Korea,Fish,Ghana,1815
South Korea,Fish,Indonesia,32753
South Korea,Fish,Taiwan,114442
South Korea,Fish,Thailand,22362
Turkey,Electronics,China,3173722
Turkey,Electronics,Malaysia,8515
Turkey,Palm oil,Indonesia,223729
Turkey,Palm oil,Malaysia,659919
Turkey,Garments,Argentina,65
Turkey,Garments,Bangladesh,190776
Turkey,Garments,Brazil,171
Turkey,Garments,China,271493
Turkey,Garments,India,23756
Turkey,Garments,Malaysia,27209
Turkey,Garments,Viet Nam,63508
Turkey,Solar panels,China,374515
Turkey,Cocoa,Côte d’Ivoire,243290
Turkey,Cocoa,Ghana,76298
Mexico,Electronics,China,5553221
Mexico,Electronics,Malaysia,178698
Mexico,Garments,Bangladesh,394062
Mexico,Garments,Brazil,1235
Mexico,Garments,China,1525355
Mexico,Garments,India,109101
Mexico,Garments,Malaysia,5633
Mexico,Garments,Viet Nam,119953
Mexico,Solar panels,China,498915
Mexico,Textiles,China,476471
Mexico,Timber,Brazil,305542
Mexico,Timber,Peru,8671
Mexico,Timber,Russia,12402
Russia,Electronics,China,8699722
Russia,Electronics,Malaysia,24478
Russia,Garments,Argentina,0.1
Russia,Garments,Bangladesh,1161231
Russia,Garments,Brazil,372
Russia,Garments,China,2976065
Russia,Garments,India,150554
Russia,Garments,Malaysia,7103
Russia,Garments,Viet Nam,399252
Russia,Palm oil,Indonesia,886351
Russia,Palm oil,Malaysia,15946
Russia,Cattle,Brazil,129229
Russia,Cattle,Paraguay,333732
Russia,Textiles,China,420059
Saudi Arabia,Garments,Argentina,11
Saudi Arabia,Garments,Bangladesh,394959
Saudi Arabia,Garments,Brazil,626
Saudi Arabia,Garments,China,2317822
Saudi Arabia,Garments,India,414568
Saudi Arabia,Garments,Malaysia,6613
Saudi Arabia,Garments,Viet Nam,53416
Saudi Arabia,Electronics,China,2150220
Saudi Arabia,Electronics,Malaysia,22842
Saudi Arabia,Palm oil,Indonesia,480481
Saudi Arabia,Palm oil,Malaysia,369096
Saudi Arabia,Rice,India,812366
Saudi Arabia,Sugarcane,Brazil,340235
Indonesia,Electronics,China,2919522
Indonesia,Electronics,Malaysia,77909
Indonesia,Garments,Argentina,0.4
Indonesia,Garments,Bangladesh,58744
Indonesia,Garments,Brazil,7
Indonesia,Garments,China,563955
Indonesia,Garments,India,15410
Indonesia,Garments,Malaysia,21467
Indonesia,Garments,Viet Nam,49025
Indonesia,Textiles,China,663425
Indonesia,Coal,China,432649
Indonesia,Coal,Pakistan,0.2
Indonesia,Sugarcane,Brazil,353740
Italy,Garments,Argentina,143
