Rank,Company_Name,Headquarters,Sectors,Total_Dataset_Score,Policy_Governance_Score,Transparency_Score,History_Modifier,Record_Count,Years_Tracked,Positive_Effect_Ratio,Has_Modern_Slavery_Policy,Has_Director_Signoff,Has_Board_Oversight,Has_Detailed_Disclosure,Assessment_Date
1,esure Group plc,GB,Insurance,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
2,Fidessa Group plc,GB,Technology: Other,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
3,Walgreen,US,Retail,32,25,7,1.1,3,3,0.667,True,True,False,False,2025-07-01
4,Wales & West Utilities Limited,GB,Utilities: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
5,Flogas Britain Ltd,GB,"Oil, gas & coal",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
6,AA,Unknown,Unknown,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
7,A2Dominion Developments Limited,GB,Real estate: General,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
8,The North of England Protecting and Indemnity Association Limited,GB,Insurance,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
9,The Mines Advisory Group,GB,Charity/Non-Profit,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
10,Focusrite PLC,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
11,Flybe Group PLC,GB,Aircraft/Airline,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
12,Fluor,US,Construction;Engineering,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
13,Findlay Park Partners LLP,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
14,Financial Times Group Limited,GB,Media & publishing: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
15,Ford Retail Ltd,GB,Retail,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
16,Ford,US,Automobile & other motor vehicles,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
17,Ferguson plc,CH,Wholesale,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
18,Fidelis Insurance Holdings Limited,GB,Insurance,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
19,The Royal London Mutual Insurance Society Limited,GB,Insurance,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
20,The Royal Horticultural Society,GB,Charity/Non-Profit,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
21,AI Mistral Topco Limited,GB,Services: General,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
22,The Jordans & Ryvita Company Limited,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
23,ABB,CH,Engineering,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
24,AB Agri Ltd,GB,Wholesale,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
25,FedEx,US,Transport: General,32,25,7,1.2,4,4,1.0,True,True,False,False,2025-07-01
26,Fast Retailing,JP,Clothing & textile,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
27,WYG plc,GB,Engineering,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
